driver_id,order_no,shop_arrival_at,created_at
38814,NC509T,2022/12/1 0:00,2022/12/1 0:00
21510,PV768H,2022/12/1 0:00,2022/12/1 0:00
24607,PC248Y,2022/12/1 0:01,2022/12/1 0:01
23374,CS617C,2022/12/1 0:02,2022/12/1 0:02
14973,QT198Y,2022/12/1 0:03,2022/12/1 0:03
2113,EC942J,2022/12/1 0:03,2022/12/1 0:03
14571,OX523K,2022/12/1 0:03,2022/12/1 0:03
74085,JQ408H,2022/12/1 0:05,2022/12/1 0:05
42616,VL390P,2022/12/1 0:05,2022/12/1 0:05
56160,BN942S,2022/12/1 0:06,2022/12/1 0:06
38501,LF845V,2022/12/1 0:07,2022/12/1 0:07
5817,JF713X,2022/12/1 0:07,2022/12/1 0:07
33464,AQ492G,2022/12/1 0:07,2022/12/1 0:07
15534,DU462P,2022/12/1 0:08,2022/12/1 0:08
14383,ZV192H,2022/12/1 0:10,2022/12/1 0:10
73092,XH870L,2022/12/1 0:10,2022/12/1 0:10
8613,KV408T,2022/12/1 0:11,2022/12/1 0:11
23820,JB846C,2022/12/1 0:12,2022/12/1 0:12
15018,LH063F,2022/12/1 0:12,2022/12/1 0:12
46709,BI893X,2022/12/1 0:13,2022/12/1 0:13
62774,QL837B,2022/12/1 0:14,2022/12/1 0:14
57687,FD295F,2022/12/1 0:14,2022/12/1 0:14
17544,WK460E,2022/12/1 0:15,2022/12/1 0:15
2232,HJ317C,2022/12/1 0:16,2022/12/1 0:16
54510,UG846D,2022/12/1 0:16,2022/12/1 0:16
5606,BY534M,2022/12/1 0:16,2022/12/1 0:16
67897,YZ359J,2022/12/1 0:17,2022/12/1 0:17
44484,GY845H,2022/12/1 0:22,2022/12/1 0:22
76304,GV384O,2022/12/1 0:25,2022/12/1 0:25
21174,JU264A,2022/12/1 0:27,2022/12/1 0:27
32247,XD479O,2022/12/1 0:28,2022/12/1 0:28
2689,TV930Y,2022/12/1 0:30,2022/12/1 0:30
41289,ZI861X,2022/12/1 0:30,2022/12/1 0:30
26444,DK120M,2022/12/1 0:31,2022/12/1 0:31
46709,AK928L,2022/12/1 0:32,2022/12/1 0:32
5817,FB438K,2022/12/1 0:33,2022/12/1 0:33
14973,CV723Y,2022/12/1 0:33,2022/12/1 0:33
62064,NJ815A,2022/12/1 0:37,2022/12/1 0:37
1217,KU273K,2022/12/1 0:37,2022/12/1 0:37
2660,GO687Y,2022/12/1 0:40,2022/12/1 0:40
38501,LH841F,2022/12/1 0:41,2022/12/1 0:41
26871,JX381O,2022/12/1 0:42,2022/12/1 0:42
44484,XD820R,2022/12/1 0:50,2022/12/1 0:50
27843,HQ359G,2022/12/1 0:51,2022/12/1 0:51
16677,WT683V,2022/12/1 0:55,2022/12/1 0:55
62774,TV594N,2022/12/1 0:56,2022/12/1 0:56
15018,NS540U,2022/12/1 0:57,2022/12/1 0:57
24016,KV437B,2022/12/1 0:59,2022/12/1 0:59
26444,XO028A,2022/12/1 1:03,2022/12/1 1:03
10238,QP967V,2022/12/1 1:08,2022/12/1 1:08
3001,AH123U,2022/12/1 1:11,2022/12/1 1:11
23374,GO052G,2022/12/1 1:14,2022/12/1 1:14
2113,CP219G,2022/12/1 1:15,2022/12/1 1:15
14802,FD741R,2022/12/1 1:18,2022/12/1 1:18
16677,KC157W,2022/12/1 1:19,2022/12/1 1:19
42616,ST863F,2022/12/1 1:22,2022/12/1 1:22
26871,HX286V,2022/12/1 1:24,2022/12/1 1:24
15018,MI368V,2022/12/1 1:27,2022/12/1 1:27
14973,EX103W,2022/12/1 1:28,2022/12/1 1:28
73709,BG203E,2022/12/1 1:29,2022/12/1 1:29
8613,YV145I,2022/12/1 1:29,2022/12/1 1:29
41289,RG645Q,2022/12/1 1:35,2022/12/1 1:35
22450,MS263F,2022/12/1 1:37,2022/12/1 1:37
3667,LF063X,2022/12/1 1:37,2022/12/1 1:37
62774,VS257L,2022/12/1 1:39,2022/12/1 1:39
24016,LU402E,2022/12/1 1:44,2022/12/1 1:44
16677,QG718J,2022/12/1 1:46,2022/12/1 1:46
72261,SW345A,2022/12/1 1:53,2022/12/1 1:53
3001,OB854H,2022/12/1 1:56,2022/12/1 1:56
26871,GZ596E,2022/12/1 2:00,2022/12/1 2:00
16677,AH428R,2022/12/1 2:02,2022/12/1 2:02
62774,UE730J,2022/12/1 2:03,2022/12/1 2:03
15018,WS253F,2022/12/1 2:07,2022/12/1 2:07
2113,RD295E,2022/12/1 2:10,2022/12/1 2:10
14973,ZJ253V,2022/12/1 2:10,2022/12/1 2:10
799,FZ657E,2022/12/1 2:11,2022/12/1 2:11
22450,XB629B,2022/12/1 2:15,2022/12/1 2:15
2113,TK832D,2022/12/1 2:17,2022/12/1 2:17
49756,AS972Z,2022/12/1 2:22,2022/12/1 2:22
16677,SD382V,2022/12/1 2:23,2022/12/1 2:23
5606,NK437P,2022/12/1 2:23,2022/12/1 2:23
14973,YP023F,2022/12/1 2:24,2022/12/1 2:24
2234,SX836H,2022/12/1 2:27,2022/12/1 2:27
26871,BD417D,2022/12/1 2:28,2022/12/1 2:28
3667,KN513L,2022/12/1 2:33,2022/12/1 2:33
37224,EZ235O,2022/12/1 2:36,2022/12/1 2:36
15018,HU104C,2022/12/1 2:38,2022/12/1 2:38
16677,XS417Z,2022/12/1 2:41,2022/12/1 2:41
2113,FD765W,2022/12/1 2:44,2022/12/1 2:44
799,CN071C,2022/12/1 2:44,2022/12/1 2:44
31971,RY052U,2022/12/1 2:44,2022/12/1 2:44
5606,MD264T,2022/12/1 2:51,2022/12/1 2:51
72261,JH102A,2022/12/1 2:53,2022/12/1 2:53
26871,TU508B,2022/12/1 2:57,2022/12/1 2:57
23820,ZY721A,2022/12/1 3:01,2022/12/1 3:01
61256,FL945H,2022/12/1 3:01,2022/12/1 3:01
31971,PO478H,2022/12/1 3:07,2022/12/1 3:07
5606,TD298K,2022/12/1 3:15,2022/12/1 3:15
57175,VP952R,2022/12/1 3:17,2022/12/1 3:17
49756,ML481Y,2022/12/1 3:18,2022/12/1 3:18
74953,VX149Y,2022/12/1 3:18,2022/12/1 3:18
62774,OH971S,2022/12/1 3:27,2022/12/1 3:27
16677,PT592D,2022/12/1 3:28,2022/12/1 3:28
26871,IY401T,2022/12/1 3:30,2022/12/1 3:30
31971,HD195A,2022/12/1 3:36,2022/12/1 3:36
72261,BP374I,2022/12/1 3:37,2022/12/1 3:37
5606,NX415V,2022/12/1 3:41,2022/12/1 3:41
26871,UP362P,2022/12/1 3:44,2022/12/1 3:44
20023,IG594R,2022/12/1 3:46,2022/12/1 3:46
16677,TH128P,2022/12/1 3:58,2022/12/1 3:58
26871,RF074W,2022/12/1 4:10,2022/12/1 4:10
799,JR468N,2022/12/1 4:14,2022/12/1 4:14
5606,QJ238D,2022/12/1 4:16,2022/12/1 4:16
16677,LY251P,2022/12/1 4:25,2022/12/1 4:25
396,IX895S,2022/12/1 4:38,2022/12/1 4:38
26871,JL361W,2022/12/1 4:40,2022/12/1 4:40
16677,VP837T,2022/12/1 4:40,2022/12/1 4:40
5606,EK082D,2022/12/1 4:47,2022/12/1 4:47
799,IX625A,2022/12/1 4:53,2022/12/1 4:53
35316,OJ790C,2022/12/1 4:57,2022/12/1 4:57
16677,PU310A,2022/12/1 5:01,2022/12/1 5:01
396,XP135G,2022/12/1 5:07,2022/12/1 5:07
26871,WR356D,2022/12/1 5:14,2022/12/1 5:14
35316,US938Y,2022/12/1 5:15,2022/12/1 5:15
16677,FB105N,2022/12/1 5:23,2022/12/1 5:23
3507,ZV396S,2022/12/1 5:25,2022/12/1 5:25
71036,XE580P,2022/12/1 5:28,2022/12/1 5:28
26871,ZN805R,2022/12/1 5:34,2022/12/1 5:34
33477,BV489J,2022/12/1 5:40,2022/12/1 5:40
16677,ED429O,2022/12/1 5:49,2022/12/1 5:49
47024,JG640S,2022/12/1 5:56,2022/12/1 5:56
70445,JD924B,2022/12/1 5:58,2022/12/1 5:58
16677,DW539B,2022/12/1 6:00,2022/12/1 6:00
70168,VJ297X,2022/12/1 6:00,2022/12/1 6:00
73709,ZK517N,2022/12/1 6:04,2022/12/1 6:04
71036,FZ350A,2022/12/1 6:10,2022/12/1 6:10
26871,DF367K,2022/12/1 6:19,2022/12/1 6:19
52254,IY361X,2022/12/1 6:24,2022/12/1 6:24
73709,MZ123K,2022/12/1 6:35,2022/12/1 6:35
1137,QK972Q,2022/12/1 6:39,2022/12/1 6:39
70168,XA130V,2022/12/1 6:40,2022/12/1 6:40
26871,CM906J,2022/12/1 6:41,2022/12/1 6:41
16677,ZS172L,2022/12/1 6:42,2022/12/1 6:42
52254,IZ058U,2022/12/1 6:43,2022/12/1 6:43
799,KD912O,2022/12/1 6:53,2022/12/1 6:53
71036,VN139J,2022/12/1 6:53,2022/12/1 6:53
73709,RO027N,2022/12/1 6:56,2022/12/1 6:56
52254,BD420N,2022/12/1 7:10,2022/12/1 7:10
1137,DV093S,2022/12/1 7:16,2022/12/1 7:16
799,QT739M,2022/12/1 7:27,2022/12/1 7:27
70168,GT073O,2022/12/1 7:29,2022/12/1 7:29
25963,IK746U,2022/12/1 7:36,2022/12/1 7:36
15798,JS120E,2022/12/1 7:46,2022/12/1 7:46
73709,JK765F,2022/12/1 7:49,2022/12/1 7:49
52254,PC207A,2022/12/1 7:51,2022/12/1 7:51
57718,XQ805W,2022/12/1 8:13,2022/12/1 8:13
64914,BE934W,2022/12/1 8:22,2022/12/1 8:22
24402,EU812W,2022/12/1 8:24,2022/12/1 8:24
63276,GT129H,2022/12/1 8:31,2022/12/1 8:31
70168,UT309B,2022/12/1 8:32,2022/12/1 8:32
15485,CQ682O,2022/12/1 8:32,2022/12/1 8:32
39814,OX159H,2022/12/1 8:38,2022/12/1 8:38
67546,LH903U,2022/12/1 8:39,2022/12/1 8:39
24016,PV964C,2022/12/1 8:43,2022/12/1 8:43
6505,NG354L,2022/12/1 8:44,2022/12/1 8:44
52254,MV160K,2022/12/1 8:49,2022/12/1 8:49
14960,SM903M,2022/12/1 8:49,2022/12/1 8:49
57006,ED537J,2022/12/1 8:55,2022/12/1 8:55
40628,MC789C,2022/12/1 8:58,2022/12/1 8:58
14987,YC605D,2022/12/1 8:58,2022/12/1 8:58
52254,NP536Z,2022/12/1 9:05,2022/12/1 9:05
49198,FT208Z,2022/12/1 9:05,2022/12/1 9:05
12046,NH534C,2022/12/1 9:08,2022/12/1 9:08
39814,UG356W,2022/12/1 9:10,2022/12/1 9:10
61427,RD528U,2022/12/1 9:12,2022/12/1 9:12
46978,CS273N,2022/12/1 9:13,2022/12/1 9:13
34404,PW739U,2022/12/1 9:14,2022/12/1 9:14
21659,YB279T,2022/12/1 9:14,2022/12/1 9:14
14960,AM807R,2022/12/1 9:15,2022/12/1 9:15
34359,MY706W,2022/12/1 9:15,2022/12/1 9:15
40628,HU167A,2022/12/1 9:16,2022/12/1 9:16
26091,NP028H,2022/12/1 9:16,2022/12/1 9:16
25963,HQ984X,2022/12/1 9:16,2022/12/1 9:16
60894,JV803B,2022/12/1 9:19,2022/12/1 9:19
47625,ID507J,2022/12/1 9:20,2022/12/1 9:20
50151,HW061C,2022/12/1 9:21,2022/12/1 9:21
70445,NB546S,2022/12/1 9:31,2022/12/1 9:31
49198,SX562P,2022/12/1 9:31,2022/12/1 9:31
33610,CO370I,2022/12/1 9:34,2022/12/1 9:34
2232,IL437C,2022/12/1 9:36,2022/12/1 9:36
43496,VA812I,2022/12/1 9:37,2022/12/1 9:37
35316,EP073O,2022/12/1 9:37,2022/12/1 9:37
55210,DR048U,2022/12/1 9:38,2022/12/1 9:38
40628,RW954Z,2022/12/1 9:38,2022/12/1 9:38
39814,VK173H,2022/12/1 9:40,2022/12/1 9:40
75035,QS064V,2022/12/1 9:41,2022/12/1 9:41
53570,RY201U,2022/12/1 9:43,2022/12/1 9:43
70168,OQ613U,2022/12/1 9:45,2022/12/1 9:45
26091,KM956E,2022/12/1 9:47,2022/12/1 9:47
31511,OB276U,2022/12/1 9:47,2022/12/1 9:47
52254,PX601K,2022/12/1 9:47,2022/12/1 9:47
18442,CM852Z,2022/12/1 9:48,2022/12/1 9:48
60894,GU673L,2022/12/1 9:48,2022/12/1 9:48
33543,FV871D,2022/12/1 9:49,2022/12/1 9:49
20369,ZU523T,2022/12/1 9:49,2022/12/1 9:49
67341,NS547L,2022/12/1 9:49,2022/12/1 9:49
47625,WO651O,2022/12/1 9:50,2022/12/1 9:50
22987,FA913O,2022/12/1 9:50,2022/12/1 9:50
33644,XG874K,2022/12/1 9:52,2022/12/1 9:52
67546,VL287H,2022/12/1 9:53,2022/12/1 9:53
420,FL784I,2022/12/1 9:56,2022/12/1 9:56
49198,WR708D,2022/12/1 9:56,2022/12/1 9:56
2953,VR378K,2022/12/1 9:59,2022/12/1 9:59
12046,WP206L,2022/12/1 10:02,2022/12/1 10:02
27828,PQ714B,2022/12/1 10:02,2022/12/1 10:02
73709,ZV197C,2022/12/1 10:04,2022/12/1 10:04
22840,RN460T,2022/12/1 10:06,2022/12/1 10:06
12173,UX360H,2022/12/1 10:07,2022/12/1 10:07
65606,AM604F,2022/12/1 10:08,2022/12/1 10:08
74953,XP637Z,2022/12/1 10:08,2022/12/1 10:08
50524,TJ185S,2022/12/1 10:08,2022/12/1 10:08
29195,IP249Q,2022/12/1 10:09,2022/12/1 10:09
869,SN925T,2022/12/1 10:09,2022/12/1 10:09
30036,PT031U,2022/12/1 10:12,2022/12/1 10:12
10846,DU831F,2022/12/1 10:12,2022/12/1 10:12
25503,YE278S,2022/12/1 10:12,2022/12/1 10:12
59611,KL307F,2022/12/1 10:12,2022/12/1 10:12
21177,KH830Y,2022/12/1 10:12,2022/12/1 10:12
58377,LO638G,2022/12/1 10:12,2022/12/1 10:12
40628,EP652Z,2022/12/1 10:13,2022/12/1 10:13
27657,UF072L,2022/12/1 10:13,2022/12/1 10:13
52076,CS361I,2022/12/1 10:13,2022/12/1 10:13
57006,XW273G,2022/12/1 10:13,2022/12/1 10:13
38913,ZL328G,2022/12/1 10:13,2022/12/1 10:13
47625,KM823L,2022/12/1 10:14,2022/12/1 10:14
65018,LH985C,2022/12/1 10:14,2022/12/1 10:14
75035,XE054A,2022/12/1 10:14,2022/12/1 10:14
73126,CH120C,2022/12/1 10:15,2022/12/1 10:15
23964,WD351Y,2022/12/1 10:16,2022/12/1 10:16
52254,LH641F,2022/12/1 10:16,2022/12/1 10:16
39829,AI945Z,2022/12/1 10:16,2022/12/1 10:16
18821,OS260A,2022/12/1 10:17,2022/12/1 10:17
27732,XA519E,2022/12/1 10:17,2022/12/1 10:17
55766,FG783C,2022/12/1 10:18,2022/12/1 10:18
67243,OQ821H,2022/12/1 10:18,2022/12/1 10:18
42903,BO615M,2022/12/1 10:18,2022/12/1 10:18
24969,XP063H,2022/12/1 10:18,2022/12/1 10:18
6223,IN564U,2022/12/1 10:18,2022/12/1 10:18
39352,FR952K,2022/12/1 10:19,2022/12/1 10:19
33610,UE834G,2022/12/1 10:19,2022/12/1 10:19
42606,ZI142Q,2022/12/1 10:19,2022/12/1 10:19
74849,ZF584E,2022/12/1 10:19,2022/12/1 10:19
21386,KR780D,2022/12/1 10:20,2022/12/1 10:20
14267,DK942Q,2022/12/1 10:20,2022/12/1 10:20
5625,MN160R,2022/12/1 10:20,2022/12/1 10:20
26078,TV840G,2022/12/1 10:20,2022/12/1 10:20
59474,OG627H,2022/12/1 10:21,2022/12/1 10:21
31115,ID723P,2022/12/1 10:21,2022/12/1 10:21
9488,EB470B,2022/12/1 10:21,2022/12/1 10:21
45671,BG590C,2022/12/1 10:21,2022/12/1 10:21
32811,VY082Z,2022/12/1 10:22,2022/12/1 10:22
1415,DS231K,2022/12/1 10:22,2022/12/1 10:22
67283,YH487N,2022/12/1 10:22,2022/12/1 10:22
53424,NA095P,2022/12/1 10:22,2022/12/1 10:22
27791,OL961H,2022/12/1 10:22,2022/12/1 10:22
49198,VU361X,2022/12/1 10:23,2022/12/1 10:23
26320,DO016R,2022/12/1 10:23,2022/12/1 10:23
31471,KM912Z,2022/12/1 10:23,2022/12/1 10:23
36899,BY163Y,2022/12/1 10:23,2022/12/1 10:23
