order_id	order_no	user_id	shop_id	cart_item_list	item_total_price	tax_rate	sales_tax	user_coupon_id	discount_code	discount_price	total_price	time_type	order_state	receive_type	order_date	receive_date	approve_date	finish_date	created_at	updated_at	driver_id	delivery_charge	original_item_total_price	delivery_date	latest_delivery_date	accept_date	pickup_date	arrive_date	pass_date	item_discount_price	shop_delivery_area_id	user_delivery_area_id	local_area_flag
3983179	UL567K	5.14295E+15	73986		1500	1.08	0	6640282	DELI-30901menupass010000	1000	0	1	4	2	2021/9/27 0:02	2021/9/27 0:12	2021/9/27 0:02	2021/9/27 0:14	2021/9/27 0:02	2021/9/27 0:14	34858	500	1500	2021/9/27 0:22	2021/9/27 0:52	2021/9/27 0:05	2021/9/27 0:18		2021/9/27 0:25	75	1	1	0
3983180	ZH924T	5.14295E+15	73986		1500	1.08	0	6640283	DELI-30901menupass010000	1000	0	1	4	2	2021/9/27 0:04	2021/9/27 0:14	2021/9/27 0:05	2021/9/27 0:14	2021/9/27 0:04	2021/9/27 0:14	12148	500	1500	2021/9/27 0:24	2021/9/27 0:54	2021/9/27 0:08	2021/9/27 0:15		2021/9/27 0:22	75	1	1	0
3983181	RQ597G	6.16679E+15	75503		1680	1.08	0	6600150	DELI-invite_VB285T	1000	0	1	4	2	2021/9/27 0:09	2021/9/27 0:22	2021/9/27 0:10	2021/9/27 0:25	2021/9/27 0:09	2021/9/27 0:25	23820	500	1680	2021/9/27 0:32	2021/9/27 1:02	2021/9/27 0:13	2021/9/27 0:27		2021/9/27 0:40	84	2	2	0
3983182	OJ852J	6.31038E+15	77971		1880	1.08	0	16554607	DELI-invite_WN621K	1000	0	1	4	2	2021/9/27 0:12	2021/9/27 0:16	2021/9/27 0:12	2021/9/27 0:18	2021/9/27 0:12	2021/9/27 0:18	6674	550	1880	2021/9/27 0:31	2021/9/27 1:01	2021/9/27 0:13	2021/9/27 0:21		2021/9/27 0:30	94	44	24	0
3983183	LA497H	4.61147E+15	29679		880	1.08	0			0	0	1	4	2	2021/9/27 0:15	2021/9/27 0:33	2021/9/27 0:16	2021/9/27 0:30	2021/9/27 0:15	2021/9/27 0:30	5606	500	880	2021/9/27 0:43	2021/9/27 1:13	2021/9/27 0:24	2021/9/27 0:30		2021/9/27 0:38	0	3	3	0
3983184	NL681L	5.26604E+15	29679		1890	1.08	0	13483668	DELI-30923magazine001000	1000	0	1	4	2	2021/9/27 0:17	2021/9/27 0:35	2021/9/27 0:17	2021/9/27 0:35	2021/9/27 0:17	2021/9/27 0:35	23408	700	1890	2021/9/27 0:55	2021/9/27 1:25	2021/9/27 0:27	2021/9/27 0:35		2021/9/27 0:50	0	3	22	0
3983185	LY704M	5.45207E+15	73997		980	1.08	0			0	0	1	4	2	2021/9/27 0:19	2021/9/27 0:29	2021/9/27 0:20	2021/9/27 0:32	2021/9/27 0:19	2021/9/27 0:32	11824	650	980	2021/9/27 0:49	2021/9/27 1:19	2021/9/27 0:21	2021/9/27 0:36		2021/9/27 0:51	0	35	7	0
3983186	TO905Z	6.15319E+15	53		1100	1.08	0			0	0	1	4	2	2021/9/27 0:25	2021/9/27 0:38	2021/9/27 0:25	2021/9/27 0:33	2021/9/27 0:25	2021/9/27 0:33	26984	550	1100	2021/9/27 0:53	2021/9/27 1:23	2021/9/27 0:29	2021/9/27 0:35		2021/9/27 0:41	0	3	24	0
3983187	UY356T	5.80852E+15	75263		2890	1.08	0			0	0	1	4	2	2021/9/27 0:36	2021/9/27 0:54	2021/9/27 0:37	2021/9/27 0:51	2021/9/27 0:36	2021/9/27 0:51	5606	550	2890	2021/9/27 1:09	2021/9/27 1:39	2021/9/27 0:45	2021/9/27 0:52		2021/9/27 1:02	0	3	3	0
3983188	LZ461V	6.15512E+15	44072		2500	1.08	0			0	0	1	4	2	2021/9/27 0:56	2021/9/27 1:09	2021/9/27 0:57	2021/9/27 1:06	2021/9/27 0:56	2021/9/27 1:06	7038	500	2500	2021/9/27 1:19	2021/9/27 1:49	2021/9/27 1:00	2021/9/27 1:06		2021/9/27 1:10	125	3	3	0
