order_no,time_type,order_state,receive_type,approve_date,created_at,driver_id,delivery_date,latest_delivery_date,accept_date,pickup_date,pass_date,local_area_flag
VK038D,1,4,2,2022/12/4 0:02,2022/12/4 0:00,70395,2022/12/4 0:38,2022/12/4 1:08,2022/12/4 0:10,2022/12/4 0:17,2022/12/4 0:33,0
XK213M,1,4,2,2022/12/4 0:02,2022/12/4 0:02,47343,2022/12/4 0:20,2022/12/4 0:50,2022/12/4 0:05,2022/12/4 0:09,2022/12/4 0:15,0
RW967A,1,4,2,2022/12/4 0:03,2022/12/4 0:03,14973,2022/12/4 0:36,2022/12/4 1:06,2022/12/4 0:28,2022/12/4 0:42,2022/12/4 0:54,0
YW864B,1,6,2,,2022/12/4 0:04,0,2022/12/4 0:27,2022/12/4 0:57,,,,0
AQ326G,1,6,2,,2022/12/4 0:07,0,2022/12/4 0:45,2022/12/4 1:15,,,,0
SB865B,1,4,2,2022/12/4 0:09,2022/12/4 0:08,26871,2022/12/4 0:30,2022/12/4 1:00,2022/12/4 0:13,2022/12/4 0:26,2022/12/4 0:30,0
SK843W,1,4,2,2022/12/4 0:08,2022/12/4 0:08,570,2022/12/4 1:01,2022/12/4 1:31,2022/12/4 0:25,2022/12/4 0:37,2022/12/4 1:08,0
TC879F,1,4,2,2022/12/4 0:17,2022/12/4 0:10,72748,2022/12/4 0:38,2022/12/4 1:08,2022/12/4 0:18,2022/12/4 0:25,2022/12/4 0:35,0
BF584T,1,4,2,2022/12/4 0:11,2022/12/4 0:11,59718,2022/12/4 0:39,2022/12/4 1:09,2022/12/4 0:15,2022/12/4 0:20,2022/12/4 0:31,0
IJ426Q,1,4,2,2022/12/4 0:12,2022/12/4 0:12,3327,2022/12/4 0:40,2022/12/4 1:10,2022/12/4 0:23,2022/12/4 0:40,2022/12/4 0:48,0
IA298A,1,4,2,2022/12/4 0:18,2022/12/4 0:15,62774,2022/12/4 0:48,2022/12/4 1:18,2022/12/4 0:40,2022/12/4 0:49,2022/12/4 0:58,0
GY157Z,1,4,2,2022/12/4 0:17,2022/12/4 0:17,21509,2022/12/4 0:55,2022/12/4 1:25,2022/12/4 0:25,2022/12/4 0:33,2022/12/4 0:43,0
TB642P,1,4,2,2022/12/4 0:19,2022/12/4 0:18,26871,2022/12/4 1:05,2022/12/4 1:35,2022/12/4 0:31,2022/12/4 0:38,2022/12/4 0:47,0
LO702Z,1,4,2,2022/12/4 0:19,2022/12/4 0:19,3359,2022/12/4 0:52,2022/12/4 1:22,2022/12/4 0:22,2022/12/4 0:30,2022/12/4 0:41,0
WA913C,1,6,2,,2022/12/4 0:23,0,2022/12/4 0:46,2022/12/4 1:16,,,,0
AU026I,1,7,2,2022/12/4 0:32,2022/12/4 0:25,23480,2022/12/4 1:03,2022/12/4 1:33,2022/12/4 0:35,2022/12/4 0:48,2022/12/4 1:50,0
OR389P,1,4,2,2022/12/4 0:30,2022/12/4 0:29,4336,2022/12/4 1:12,2022/12/4 1:42,2022/12/4 0:40,2022/12/4 0:52,2022/12/4 0:57,0
PE905E,1,4,2,2022/12/4 0:31,2022/12/4 0:30,61492,2022/12/4 0:58,2022/12/4 1:28,2022/12/4 0:34,2022/12/4 0:44,2022/12/4 0:59,0
AL321S,1,4,2,2022/12/4 0:32,2022/12/4 0:31,24016,2022/12/4 1:09,2022/12/4 1:39,2022/12/4 0:40,2022/12/4 1:02,2022/12/4 1:14,0
GW245V,1,6,2,,2022/12/4 0:33,0,2022/12/4 0:55,2022/12/4 1:25,,,,0
VT738F,1,4,2,2022/12/4 0:36,2022/12/4 0:36,3359,2022/12/4 0:59,2022/12/4 1:29,2022/12/4 0:41,2022/12/4 0:45,2022/12/4 0:49,0
GR257Y,1,4,2,2022/12/4 0:37,2022/12/4 0:37,44484,2022/12/4 1:20,2022/12/4 1:50,2022/12/4 0:56,2022/12/4 0:58,2022/12/4 1:04,0
NB739R,1,4,2,2022/12/4 0:40,2022/12/4 0:40,72261,2022/12/4 1:13,2022/12/4 1:43,2022/12/4 0:46,2022/12/4 0:50,2022/12/4 1:03,0
CN869X,1,4,2,2022/12/4 0:43,2022/12/4 0:41,2165,2022/12/4 1:19,2022/12/4 1:49,2022/12/4 0:48,2022/12/4 0:57,2022/12/4 1:14,0
MG459K,1,4,2,2022/12/4 0:43,2022/12/4 0:43,26871,2022/12/4 1:06,2022/12/4 1:36,2022/12/4 0:48,2022/12/4 1:01,2022/12/4 1:06,0
FB042V,1,4,2,2022/12/4 0:46,2022/12/4 0:46,20733,2022/12/4 1:34,2022/12/4 2:04,2022/12/4 0:46,2022/12/4 1:00,2022/12/4 1:19,0
QS125I,1,4,2,2022/12/4 0:50,2022/12/4 0:49,62064,2022/12/4 1:12,2022/12/4 1:42,2022/12/4 0:53,2022/12/4 1:04,2022/12/4 1:14,0
FW917B,1,4,2,2022/12/4 0:51,2022/12/4 0:51,67812,2022/12/4 1:24,2022/12/4 1:54,2022/12/4 1:11,2022/12/4 1:25,2022/12/4 1:36,0
OA846W,1,4,2,2022/12/4 0:52,2022/12/4 0:52,62774,2022/12/4 1:30,2022/12/4 2:00,2022/12/4 1:03,2022/12/4 1:19,2022/12/4 1:36,0
AG153J,1,4,2,2022/12/4 0:55,2022/12/4 0:55,2165,2022/12/4 1:48,2022/12/4 2:18,2022/12/4 1:48,2022/12/4 2:02,2022/12/4 2:13,0
FM987H,1,4,2,2022/12/4 0:56,2022/12/4 0:56,14973,2022/12/4 1:44,2022/12/4 2:14,2022/12/4 1:19,2022/12/4 1:45,2022/12/4 1:59,0
MK072C,1,4,2,2022/12/4 0:57,2022/12/4 0:57,49756,2022/12/4 1:50,2022/12/4 2:20,2022/12/4 1:18,2022/12/4 1:42,2022/12/4 1:57,0
GI107M,1,4,2,2022/12/4 0:58,2022/12/4 0:58,14973,2022/12/4 1:23,2022/12/4 1:53,2022/12/4 0:59,2022/12/4 1:07,2022/12/4 1:19,0
HE821P,1,6,2,,2022/12/4 1:02,0,2022/12/4 1:30,2022/12/4 2:00,,,,0
SQ986F,1,4,2,2022/12/4 1:06,2022/12/4 1:04,26871,2022/12/4 1:45,2022/12/4 2:15,2022/12/4 1:13,2022/12/4 1:23,2022/12/4 1:39,0
KX364P,1,4,2,2022/12/4 1:06,2022/12/4 1:05,6674,2022/12/4 2:03,2022/12/4 2:33,2022/12/4 1:08,2022/12/4 1:22,2022/12/4 1:42,0
HV513S,2,5,2,,2022/12/4 1:06,0,2022/12/5 16:45,2022/12/5 16:45,,,,0
VU297C,1,4,2,2022/12/4 1:07,2022/12/4 1:06,35316,2022/12/4 2:04,2022/12/4 2:34,2022/12/4 1:49,2022/12/4 2:02,2022/12/4 2:18,0
RD720P,1,4,2,2022/12/4 1:09,2022/12/4 1:09,72261,2022/12/4 2:02,2022/12/4 2:32,2022/12/4 1:34,2022/12/4 1:43,2022/12/4 1:59,0
LE675O,1,4,2,2022/12/4 1:11,2022/12/4 1:11,61492,2022/12/4 1:44,2022/12/4 2:14,2022/12/4 1:15,2022/12/4 1:25,2022/12/4 1:34,0
WQ962S,1,4,2,2022/12/4 1:12,2022/12/4 1:12,39758,2022/12/4 1:42,2022/12/4 2:12,2022/12/4 1:39,2022/12/4 1:48,2022/12/4 2:09,0
VK586K,1,4,2,2022/12/4 1:14,2022/12/4 1:12,2165,2022/12/4 1:35,2022/12/4 2:05,2022/12/4 1:17,2022/12/4 1:31,2022/12/4 1:40,0
UR510X,1,4,2,2022/12/4 1:15,2022/12/4 1:14,6674,2022/12/4 1:37,2022/12/4 2:07,2022/12/4 1:44,2022/12/4 1:53,2022/12/4 2:00,0
EA389A,1,4,2,2022/12/4 1:19,2022/12/4 1:18,570,2022/12/4 1:56,2022/12/4 2:26,2022/12/4 1:21,2022/12/4 1:28,2022/12/4 1:39,0
CB705P,1,4,2,2022/12/4 1:19,2022/12/4 1:18,26871,2022/12/4 2:02,2022/12/4 2:32,2022/12/4 1:44,2022/12/4 1:55,2022/12/4 2:01,0
RB872L,1,4,2,2022/12/4 1:24,2022/12/4 1:22,6674,2022/12/4 1:50,2022/12/4 2:20,2022/12/4 2:00,2022/12/4 2:08,2022/12/4 2:17,0
VN235B,1,4,2,2022/12/4 1:29,2022/12/4 1:28,813,2022/12/4 2:01,2022/12/4 2:31,2022/12/4 1:35,2022/12/4 1:46,2022/12/4 1:59,0
DY984N,1,4,2,2022/12/4 1:29,2022/12/4 1:28,62064,2022/12/4 2:16,2022/12/4 2:46,2022/12/4 2:05,2022/12/4 2:12,2022/12/4 2:23,0
NL948A,1,4,2,2022/12/4 1:38,2022/12/4 1:38,813,2022/12/4 2:21,2022/12/4 2:51,2022/12/4 1:59,2022/12/4 2:11,2022/12/4 2:26,0
MH058I,1,4,2,2022/12/4 1:42,2022/12/4 1:42,62774,2022/12/4 2:15,2022/12/4 2:45,2022/12/4 2:04,2022/12/4 2:14,2022/12/4 2:25,0
XB091W,1,4,2,2022/12/4 1:42,2022/12/4 1:42,9930,2022/12/4 2:20,2022/12/4 2:50,2022/12/4 1:46,2022/12/4 1:53,2022/12/4 2:10,0
OD853U,1,4,2,2022/12/4 1:43,2022/12/4 1:43,62064,2022/12/4 2:01,2022/12/4 2:31,2022/12/4 1:45,2022/12/4 2:00,2022/12/4 2:05,0
OT143E,1,4,2,2022/12/4 1:47,2022/12/4 1:46,72261,2022/12/4 2:39,2022/12/4 3:09,2022/12/4 2:36,2022/12/4 2:50,2022/12/4 3:02,0
DU306Y,1,4,2,2022/12/4 1:47,2022/12/4 1:46,26871,2022/12/4 2:19,2022/12/4 2:49,2022/12/4 2:01,2022/12/4 2:05,2022/12/4 2:14,0
DA804P,1,4,2,2022/12/4 1:52,2022/12/4 1:51,14973,2022/12/4 2:19,2022/12/4 2:49,2022/12/4 1:59,2022/12/4 2:15,2022/12/4 2:24,0
GK806D,1,4,2,2022/12/4 1:54,2022/12/4 1:54,49756,2022/12/4 2:44,2022/12/4 3:14,2022/12/4 1:58,2022/12/4 2:04,2022/12/4 2:26,0
QL820T,1,4,2,2022/12/4 1:55,2022/12/4 1:54,49756,2022/12/4 2:44,2022/12/4 3:14,2022/12/4 1:58,2022/12/4 2:08,2022/12/4 2:26,0
AN839F,1,4,2,2022/12/4 1:58,2022/12/4 1:58,9930,2022/12/4 2:26,2022/12/4 2:56,2022/12/4 2:10,2022/12/4 2:12,2022/12/4 2:19,0
BK057H,1,4,2,2022/12/4 1:59,2022/12/4 1:58,26444,2022/12/4 2:36,2022/12/4 3:06,2022/12/4 2:12,2022/12/4 2:18,2022/12/4 2:30,0
IU218A,2,4,2,2022/12/5 17:55,2022/12/4 2:01,74512,2022/12/5 19:15,2022/12/5 19:15,2022/12/5 17:57,2022/12/5 17:57,2022/12/5 19:53,0
OV987I,1,4,2,2022/12/4 2:02,2022/12/4 2:02,26871,2022/12/4 2:40,2022/12/4 3:10,2022/12/4 2:15,2022/12/4 2:16,2022/12/4 2:24,0
QM479F,1,4,2,2022/12/4 2:03,2022/12/4 2:03,6674,2022/12/4 2:56,2022/12/4 3:26,2022/12/4 2:22,2022/12/4 2:41,2022/12/4 2:59,0
LH502B,1,4,2,2022/12/4 2:04,2022/12/4 2:04,2165,2022/12/4 2:46,2022/12/4 3:16,2022/12/4 2:14,2022/12/4 2:22,2022/12/4 2:40,0
EW497Z,1,6,2,,2022/12/4 2:05,0,2022/12/4 2:38,2022/12/4 3:08,,,,0
XH904G,1,4,2,2022/12/4 2:09,2022/12/4 2:08,26871,2022/12/4 2:46,2022/12/4 3:16,2022/12/4 2:24,2022/12/4 2:31,2022/12/4 2:44,0
BY925C,1,4,2,2022/12/4 2:10,2022/12/4 2:10,9930,2022/12/4 3:03,2022/12/4 3:33,2022/12/4 2:19,2022/12/4 2:31,2022/12/4 2:53,0
RL374W,1,4,2,2022/12/4 2:11,2022/12/4 2:10,39758,2022/12/4 2:30,2022/12/4 3:00,2022/12/4 2:12,2022/12/4 2:25,2022/12/4 2:34,0
JP048H,1,4,2,2022/12/4 2:13,2022/12/4 2:12,35316,2022/12/4 2:45,2022/12/4 3:15,2022/12/4 2:21,2022/12/4 2:36,2022/12/4 2:50,0
XJ140B,1,6,2,,2022/12/4 2:13,0,2022/12/4 2:41,2022/12/4 3:11,,,,0
FK204N,1,4,2,2022/12/4 2:13,2022/12/4 2:13,70277,2022/12/4 2:36,2022/12/4 3:06,2022/12/4 2:33,2022/12/4 2:42,2022/12/4 2:47,0
XC283L,1,4,2,2022/12/4 2:21,2022/12/4 2:14,25484,2022/12/4 2:42,2022/12/4 3:12,2022/12/4 2:23,2022/12/4 2:31,2022/12/4 2:38,0
UQ382J,1,4,2,2022/12/4 2:15,2022/12/4 2:14,5008,2022/12/4 2:40,2022/12/4 3:10,2022/12/4 2:22,2022/12/4 2:31,2022/12/4 2:36,0
ET639J,1,4,2,2022/12/4 2:15,2022/12/4 2:15,23820,2022/12/4 2:58,2022/12/4 3:28,2022/12/4 2:34,2022/12/4 2:53,2022/12/4 3:02,0
UW791V,1,6,2,,2022/12/4 2:16,0,2022/12/4 2:39,2022/12/4 3:09,,,,0
TC094H,1,4,2,2022/12/4 2:19,2022/12/4 2:18,813,2022/12/4 3:06,2022/12/4 3:36,2022/12/4 2:30,2022/12/4 2:40,2022/12/4 3:01,0
IJ863F,1,4,2,2022/12/4 2:20,2022/12/4 2:19,24627,2022/12/4 2:57,2022/12/4 3:27,2022/12/4 2:40,2022/12/4 2:45,2022/12/4 3:10,0
MT796A,1,4,2,2022/12/4 2:21,2022/12/4 2:19,62774,2022/12/4 2:42,2022/12/4 3:12,2022/12/4 2:25,2022/12/4 2:32,2022/12/4 2:37,0
XF276W,1,4,2,2022/12/4 2:21,2022/12/4 2:21,49756,2022/12/4 2:54,2022/12/4 3:24,2022/12/4 2:30,2022/12/4 2:39,2022/12/4 2:48,0
BV754X,1,4,2,2022/12/4 2:22,2022/12/4 2:21,570,2022/12/4 2:59,2022/12/4 3:29,2022/12/4 2:35,2022/12/4 2:56,2022/12/4 3:06,0
XM179R,1,4,2,2022/12/4 2:23,2022/12/4 2:22,3667,2022/12/4 2:53,2022/12/4 3:23,2022/12/4 2:29,2022/12/4 2:39,2022/12/4 2:49,0
KP098U,1,4,2,2022/12/4 2:29,2022/12/4 2:28,25484,2022/12/4 3:00,2022/12/4 3:30,2022/12/4 2:39,2022/12/4 2:44,2022/12/4 3:08,0
UL458G,1,4,2,2022/12/4 2:29,2022/12/4 2:29,70145,2022/12/4 3:27,2022/12/4 3:57,2022/12/4 2:44,2022/12/4 2:55,2022/12/4 3:15,0
