order_id,user_id,driver_id,ordered_at,amount,coupon,is_cancel,rating,delivery_min
ORD16451,U1355,D306,2024/9/30 0:16,2038,0,0,4.5,25.1
ORD11146,U1062,D316,2024/9/30 0:49,2702,0,0,3.9,26
ORD15709,U1312,D300,2024/9/30 6:21,2135,0,0,4.7,24.2
ORD19843,U1554,D281,2024/9/30 6:32,2897,0,0,3.9,25.7
ORD12755,U1148,D255,2024/9/30 6:58,2512,0,0,4.2,23.2
ORD22219,U1682,D278,2024/9/30 8:01,2220,0,0,4.3,24
ORD12382,U1128,D310,2024/9/30 8:02,1886,0,0,4.3,28.7
ORD21881,U1670,D277,2024/9/30 8:54,2964,0,0,4.4,27.7
ORD13885,U1217,D242,2024/9/30 9:06,1224,0,0,4.2,25.2
ORD15117,U1283,D205,2024/9/30 9:56,1945,0,0,3.7,22.5
ORD12529,U1137,D215,2024/9/30 10:02,1792,0,0,4.1,28.9
ORD12610,U1141,D211,2024/9/30 10:07,1255,0,0,4.1,31.2
ORD24208,U1797,D279,2024/9/30 10:18,2138,0,0,4.1,26.9
ORD17089,U1397,D233,2024/9/30 10:33,2185,0,0,4.7,27.1
ORD13367,U1185,D246,2024/9/30 11:01,1897,0,0,4.6,26
ORD13335,U1183,D286,2024/9/30 11:20,1362,0,0,4.3,26.8
ORD11027,U1058,D255,2024/9/30 11:31,2631,0,0,3.9,27
ORD11049,U1058,D283,2024/9/30 11:46,,0,1,,
ORD22325,U1690,D300,2024/9/30 11:49,1335,0,0,4,25.6
ORD21959,U1672,D277,2024/9/30 12:00,2859,0,0,4.2,32.2
ORD20402,U1584,D300,2024/9/30 12:03,1801,0,0,4.8,24.2
ORD21342,U1641,D279,2024/9/30 12:12,2895,0,0,4.3,26.3
ORD19697,U1543,D205,2024/9/30 12:13,3185,0,0,3.7,22.6
ORD15514,U1300,D295,2024/9/30 12:13,2230,0,0,4.6,23.1
ORD17805,U1436,D217,2024/9/30 12:20,2475,0,0,4.4,25.8
ORD15706,U1312,D303,2024/9/30 12:27,2251,0,0,4.3,23.9
ORD19256,U1521,D316,2024/9/30 12:31,1636,0,0,4.1,27.4
ORD19266,U1522,D238,2024/9/30 12:39,1717,0,0,4.7,22.5
ORD14742,U1261,D272,2024/9/30 12:54,1519,0,0,4.4,29.5
ORD14527,U1248,D283,2024/9/30 12:56,1799,0,0,4.2,31.2
ORD13531,U1197,D241,2024/9/30 12:57,2015,0,0,4.9,24.5
ORD22551,U1704,D284,2024/9/30 12:58,,0,1,,
ORD22869,U1727,D262,2024/9/30 13:08,1227,0,0,4.6,25.2
ORD14105,U1225,D303,2024/9/30 13:08,3031,0,0,3.8,27
ORD10076,U1004,D316,2024/9/30 13:09,1860,0,0,4.1,25.6
ORD17601,U1427,D318,2024/9/30 13:14,2854,0,0,4.1,30.8
ORD13704,U1207,D263,2024/9/30 13:19,2122,0,0,3.8,28.2
ORD14166,U1228,D272,2024/9/30 13:29,1347,0,0,4.9,28.7
ORD16204,U1339,D216,2024/9/30 13:31,2346,0,0,4.4,22.2
ORD19535,U1536,D317,2024/9/30 13:37,1863,0,0,4.6,26.1
ORD15965,U1326,D221,2024/9/30 13:55,2760,0,0,4.2,19.2
ORD12273,U1124,D295,2024/9/30 14:09,2029,0,0,4.2,23.6
ORD11821,U1098,D250,2024/9/30 14:15,2828,0,0,4.6,20.3
ORD21733,U1659,D223,2024/9/30 14:35,1941,0,0,4.4,20.2
ORD21797,U1662,D290,2024/9/30 14:39,1874,0,0,3.8,22.6
ORD10326,U1017,D301,2024/9/30 14:47,1781,0,0,4.2,23.6
ORD14692,U1260,D259,2024/9/30 14:48,2414,0,0,4.5,26.6
ORD19366,U1527,D263,2024/9/30 14:48,1751,0,0,4.2,23.2
ORD21007,U1624,D226,2024/9/30 14:49,3078,0,0,4.4,25.4
ORD13148,U1168,D294,2024/9/30 15:20,2315,0,0,4.5,24.5
ORD23537,U1762,D250,2024/9/30 15:36,2857,0,0,4.7,26.4
ORD12315,U1127,D234,2024/9/30 15:40,2655,0,0,4.1,26.6
ORD16135,U1335,D260,2024/9/30 15:46,2985,0,0,4.3,26.8
ORD16877,U1382,D290,2024/9/30 16:01,2462,0,0,4.4,29.2
ORD16922,U1385,D223,2024/9/30 16:04,1510,0,0,4.5,29
ORD14839,U1266,D282,2024/9/30 16:13,2768,0,0,4.3,29.3
ORD12153,U1120,D286,2024/9/30 16:15,2324,0,0,4.4,25.9
ORD19393,U1527,D300,2024/9/30 16:23,2379,0,0,4.6,23.7
ORD18251,U1459,D255,2024/9/30 16:26,1744,0,0,4.5,28.2
ORD10539,U1030,D318,2024/9/30 16:37,2365,0,0,4,27.1
ORD19381,U1527,D231,2024/9/30 17:01,1281,0,0,5,21.3
ORD12072,U1116,D289,2024/9/30 17:03,2213,0,0,4.4,24.9
ORD22364,U1692,D286,2024/9/30 17:11,1619,0,0,4.4,31.1
ORD15826,U1319,D243,2024/9/30 17:19,1957,0,0,4.3,26.5
ORD18094,U1452,D228,2024/9/30 17:29,2013,0,0,4.7,29.3
ORD16469,U1355,D214,2024/9/30 17:35,2199,0,0,4.2,23.3
ORD11658,U1090,D206,2024/9/30 17:39,1455,0,0,4.1,25.5
ORD17806,U1436,D233,2024/9/30 17:53,2214,0,0,4.6,27.8
ORD11715,U1092,D263,2024/9/30 17:53,1478,0,0,4.1,23
ORD20649,U1596,D231,2024/9/30 18:00,1936,0,0,4.7,28.5
ORD18875,U1499,D207,2024/9/30 18:07,2625,0,0,4.5,24.8
ORD20926,U1617,D251,2024/9/30 18:14,2456,0,0,4.4,27.9
ORD10432,U1024,D223,2024/9/30 18:19,1384,0,0,4.8,20.6
ORD10496,U1027,D287,2024/9/30 18:24,2027,0,0,4.1,29.9
ORD12893,U1156,D222,2024/9/30 18:29,2232,0,0,4.5,28.7
ORD21215,U1632,D221,2024/9/30 18:34,1848,0,0,4.4,26.8
ORD20446,U1585,D270,2024/9/30 18:35,2109,0,0,4.7,22.9
ORD15920,U1323,D205,2024/9/30 18:39,2091,0,0,4.3,25.9
ORD19283,U1522,D238,2024/9/30 18:41,1718,0,0,4.3,24.1
ORD22523,U1701,D259,2024/9/30 18:46,3118,0,0,4.6,26.8
ORD10557,U1032,D219,2024/9/30 18:49,2877,0,0,4.4,23.1
ORD18260,U1459,D211,2024/9/30 18:52,2755,0,0,4.2,25.9
ORD22514,U1701,D269,2024/9/30 18:53,3153,0,0,4.6,27.2
ORD24195,U1796,D246,2024/9/30 18:58,2446,0,0,4.2,29.7
ORD20700,U1600,D309,2024/9/30 19:05,1398,0,0,5,29.3
ORD15350,U1292,D255,2024/9/30 19:08,2367,0,0,4.6,28.3
ORD14861,U1267,D223,2024/9/30 19:18,1713,0,0,4.5,25.7
ORD14242,U1232,D251,2024/9/30 19:18,2851,0,0,4.7,27.1
ORD10859,U1048,D263,2024/9/30 19:25,3179,0,0,4,25.9
ORD23039,U1738,D223,2024/9/30 19:28,1574,0,0,4.4,27.1
ORD12346,U1127,D311,2024/9/30 19:29,2525,0,0,4.5,29.1
ORD12669,U1144,D259,2024/9/30 19:29,2467,0,0,4.6,20.8
ORD14668,U1259,D219,2024/9/30 19:32,2344,0,0,4.5,24.2
ORD12118,U1118,D250,2024/9/30 19:37,3146,0,0,4.4,27.6
ORD12069,U1116,D319,2024/9/30 19:38,1595,0,0,4.2,24.3
ORD12733,U1148,D317,2024/9/30 19:49,2612,0,0,4.1,26.7
ORD16749,U1374,D226,2024/9/30 19:59,2483,0,0,3.9,24.6
ORD21174,U1629,D253,2024/9/30 20:18,2563,0,0,4.5,23.9
ORD18165,U1455,D294,2024/9/30 20:31,2166,0,0,4.6,28.3
ORD17955,U1441,D231,2024/9/30 20:34,2412,0,0,4.5,22.2
ORD10176,U1011,D282,2024/9/30 20:48,1517,0,0,4.1,27.4
